,Student ID,Grades,Feedback
0,7263,95.02,Link to Assignment with Professor Feedback
1,7501,100.0,Link to Assignment with Professor Feedback
2,7403,100.0,Link to Assignment with Professor Feedback
3,7402,95.07,Link to Assignment with Professor Feedback
4,7580,99.68,Link to Assignment with Professor Feedback
5,7492,100.0,Link to Assignment with Professor Feedback
6,7401,95.22,Link to Assignment with Professor Feedback
7,7502,83.27,Link to Assignment with Professor Feedback
8,7630,98.01,Link to Assignment with Professor Feedback
9,7252,88.66,Link to Assignment with Professor Feedback
10,7388,87.24,Link to Assignment with Professor Feedback
11,7509,74.13,Link to Assignment with Professor Feedback
12,7584,100.0,Link to Assignment with Professor Feedback
13,7534,100.0,Link to Assignment with Professor Feedback
14,7455,100.0,Link to Assignment with Professor Feedback
15,7237,100.0,Link to Assignment with Professor Feedback
16,7518,97.93,Link to Assignment with Professor Feedback
17,7448,83.53,Link to Assignment with Professor Feedback
18,7526,100.0,Link to Assignment with Professor Feedback
19,7476,86.49,Link to Assignment with Professor Feedback
