,Student ID,Grades,Feedback
0,7370,100.0,Link to Assignment with Professor Feedback
1,7574,73.95,Link to Assignment with Professor Feedback
2,7514,80.96,Link to Assignment with Professor Feedback
3,7583,75.39,Link to Assignment with Professor Feedback
4,7580,87.64,Link to Assignment with Professor Feedback
5,7596,58.61,Link to Assignment with Professor Feedback
6,7279,61.03,Link to Assignment with Professor Feedback
7,7437,71.65,Link to Assignment with Professor Feedback
8,7602,86.35,Link to Assignment with Professor Feedback
9,7362,93.94,Link to Assignment with Professor Feedback
10,7489,100.0,Link to Assignment with Professor Feedback
11,7302,70.29,Link to Assignment with Professor Feedback
12,7382,69.98,Link to Assignment with Professor Feedback
13,7293,84.09,Link to Assignment with Professor Feedback
14,7414,63.85,Link to Assignment with Professor Feedback
15,7493,83.18,Link to Assignment with Professor Feedback
16,7533,65.8,Link to Assignment with Professor Feedback
17,7313,82.11,Link to Assignment with Professor Feedback
18,7343,68.75,Link to Assignment with Professor Feedback
