,Student ID,Grades,Feedback
0,7451,100.0,Link to Assignment with Professor Feedback
1,7268,100.0,Link to Assignment with Professor Feedback
2,7383,74.32,Link to Assignment with Professor Feedback
3,7420,95.03,Link to Assignment with Professor Feedback
4,7390,100.0,Link to Assignment with Professor Feedback
5,7247,96.27,Link to Assignment with Professor Feedback
6,7237,82.87,Link to Assignment with Professor Feedback
7,7578,85.96,Link to Assignment with Professor Feedback
8,7616,91.75,Link to Assignment with Professor Feedback
9,7473,72.27,Link to Assignment with Professor Feedback
10,7516,88.75,Link to Assignment with Professor Feedback
11,7396,62.59,Link to Assignment with Professor Feedback
12,7373,88.77,Link to Assignment with Professor Feedback
13,7602,99.88,Link to Assignment with Professor Feedback
14,7608,77.95,Link to Assignment with Professor Feedback
15,7554,95.63,Link to Assignment with Professor Feedback
16,7301,100.0,Link to Assignment with Professor Feedback
17,7475,100.0,Link to Assignment with Professor Feedback
18,7559,75.91,Link to Assignment with Professor Feedback
