,Student ID,Grades,Feedback
0,7246,70.75,Link to Assignment with Professor Feedback
1,7434,80.7,Link to Assignment with Professor Feedback
2,7261,71.25,Link to Assignment with Professor Feedback
3,7579,86.09,Link to Assignment with Professor Feedback
4,7548,100.0,Link to Assignment with Professor Feedback
5,7649,100.0,Link to Assignment with Professor Feedback
6,7446,90.71,Link to Assignment with Professor Feedback
7,7335,79.1,Link to Assignment with Professor Feedback
8,7631,64.81,Link to Assignment with Professor Feedback
9,7607,56.27,Link to Assignment with Professor Feedback
10,7480,80.64,Link to Assignment with Professor Feedback
11,7501,80.46,Link to Assignment with Professor Feedback
12,7282,100.0,Link to Assignment with Professor Feedback
13,7638,84.85,Link to Assignment with Professor Feedback
14,7457,100.0,Link to Assignment with Professor Feedback
15,7356,93.05,Link to Assignment with Professor Feedback
16,7307,72.46,Link to Assignment with Professor Feedback
17,7419,98.86,Link to Assignment with Professor Feedback
18,7629,78.77,Link to Assignment with Professor Feedback
19,7438,100.0,Link to Assignment with Professor Feedback
