,Student ID,Grades,Feedback
0,7246,100.0,Link to Assignment with Professor Feedback
1,7434,100.0,Link to Assignment with Professor Feedback
2,7261,98.15,Link to Assignment with Professor Feedback
3,7579,90.16,Link to Assignment with Professor Feedback
4,7548,100.0,Link to Assignment with Professor Feedback
5,7649,89.02,Link to Assignment with Professor Feedback
6,7446,95.08,Link to Assignment with Professor Feedback
7,7335,54.61,Link to Assignment with Professor Feedback
8,7631,64.58,Link to Assignment with Professor Feedback
9,7607,100.0,Link to Assignment with Professor Feedback
10,7480,100.0,Link to Assignment with Professor Feedback
11,7501,71.5,Link to Assignment with Professor Feedback
12,7282,48.96,Link to Assignment with Professor Feedback
13,7638,65.64,Link to Assignment with Professor Feedback
14,7457,79.29,Link to Assignment with Professor Feedback
15,7356,100.0,Link to Assignment with Professor Feedback
16,7307,95.55,Link to Assignment with Professor Feedback
17,7419,89.01,Link to Assignment with Professor Feedback
18,7629,100.0,Link to Assignment with Professor Feedback
19,7438,98.1,Link to Assignment with Professor Feedback
