,Student ID,Grades,Feedback
0,7491,100.0,Link to Assignment with Professor Feedback
1,7410,92.04,Link to Assignment with Professor Feedback
2,7600,72.2,Link to Assignment with Professor Feedback
3,7420,91.72,Link to Assignment with Professor Feedback
4,7374,90.33,Link to Assignment with Professor Feedback
5,7285,100.0,Link to Assignment with Professor Feedback
6,7395,90.08,Link to Assignment with Professor Feedback
7,7535,92.53,Link to Assignment with Professor Feedback
8,7440,80.8,Link to Assignment with Professor Feedback
9,7243,95.83,Link to Assignment with Professor Feedback
10,7504,84.83,Link to Assignment with Professor Feedback
11,7621,73.95,Link to Assignment with Professor Feedback
12,7433,100.0,Link to Assignment with Professor Feedback
13,7492,100.0,Link to Assignment with Professor Feedback
14,7324,76.17,Link to Assignment with Professor Feedback
15,7424,93.01,Link to Assignment with Professor Feedback
16,7462,84.69,Link to Assignment with Professor Feedback
17,7583,91.93,Link to Assignment with Professor Feedback
18,7606,72.81,Link to Assignment with Professor Feedback
19,7549,93.7,Link to Assignment with Professor Feedback
