,Student ID,Grades,Feedback
0,7247,93.8,Link to Assignment with Professor Feedback
1,7543,76.42,Link to Assignment with Professor Feedback
2,7331,62.94,Link to Assignment with Professor Feedback
3,7629,69.38,Link to Assignment with Professor Feedback
4,7542,67.37,Link to Assignment with Professor Feedback
5,7370,63.91,Link to Assignment with Professor Feedback
6,7355,80.88,Link to Assignment with Professor Feedback
7,7398,100.0,Link to Assignment with Professor Feedback
8,7301,90.69,Link to Assignment with Professor Feedback
9,7390,86.56,Link to Assignment with Professor Feedback
10,7526,79.28,Link to Assignment with Professor Feedback
11,7614,53.42,Link to Assignment with Professor Feedback
12,7285,100.0,Link to Assignment with Professor Feedback
13,7333,85.64,Link to Assignment with Professor Feedback
14,7252,78.13,Link to Assignment with Professor Feedback
15,7380,100.0,Link to Assignment with Professor Feedback
16,7427,100.0,Link to Assignment with Professor Feedback
17,7362,95.56,Link to Assignment with Professor Feedback
