,Student ID,Grades,Feedback
0,7443,100.0,Link to Assignment with Professor Feedback
1,7307,69.07,Link to Assignment with Professor Feedback
2,7620,100.0,Link to Assignment with Professor Feedback
3,7237,56.54,Link to Assignment with Professor Feedback
4,7264,67.8,Link to Assignment with Professor Feedback
5,7259,100.0,Link to Assignment with Professor Feedback
6,7503,88.51,Link to Assignment with Professor Feedback
7,7334,100.0,Link to Assignment with Professor Feedback
8,7425,80.22,Link to Assignment with Professor Feedback
9,7393,83.96,Link to Assignment with Professor Feedback
10,7629,100.0,Link to Assignment with Professor Feedback
11,7637,82.59,Link to Assignment with Professor Feedback
12,7271,82.09,Link to Assignment with Professor Feedback
13,7472,100.0,Link to Assignment with Professor Feedback
14,7409,73.76,Link to Assignment with Professor Feedback
15,7570,100.0,Link to Assignment with Professor Feedback
16,7246,89.23,Link to Assignment with Professor Feedback
