,Student ID,Grades,Feedback
0,7477,98.24,Link to Assignment with Professor Feedback
1,7408,60.0,Link to Assignment with Professor Feedback
2,7585,94.43,Link to Assignment with Professor Feedback
3,7282,100.0,Link to Assignment with Professor Feedback
4,7620,97.17,Link to Assignment with Professor Feedback
5,7641,95.42,Link to Assignment with Professor Feedback
6,7383,73.46,Link to Assignment with Professor Feedback
7,7457,90.88,Link to Assignment with Professor Feedback
8,7642,100.0,Link to Assignment with Professor Feedback
9,7636,83.16,Link to Assignment with Professor Feedback
10,7482,80.82,Link to Assignment with Professor Feedback
11,7249,70.82,Link to Assignment with Professor Feedback
12,7416,100.0,Link to Assignment with Professor Feedback
13,7306,100.0,Link to Assignment with Professor Feedback
14,7423,84.28,Link to Assignment with Professor Feedback
15,7514,92.47,Link to Assignment with Professor Feedback
