,Student ID,Grades,Feedback
0,7622,100.0,Link to Assignment with Professor Feedback
1,7571,70.88,Link to Assignment with Professor Feedback
2,7494,60.3,Link to Assignment with Professor Feedback
3,7450,79.12,Link to Assignment with Professor Feedback
4,7578,100.0,Link to Assignment with Professor Feedback
5,7616,100.0,Link to Assignment with Professor Feedback
6,7627,84.27,Link to Assignment with Professor Feedback
7,7464,89.36,Link to Assignment with Professor Feedback
8,7284,89.05,Link to Assignment with Professor Feedback
9,7291,75.34,Link to Assignment with Professor Feedback
10,7316,70.09,Link to Assignment with Professor Feedback
11,7534,83.71,Link to Assignment with Professor Feedback
12,7615,77.01,Link to Assignment with Professor Feedback
13,7550,100.0,Link to Assignment with Professor Feedback
14,7345,92.17,Link to Assignment with Professor Feedback
15,7617,93.99,Link to Assignment with Professor Feedback
16,7631,55.64,Link to Assignment with Professor Feedback
17,7422,49.11,Link to Assignment with Professor Feedback
18,7549,71.28,Link to Assignment with Professor Feedback
