,Student ID,Grades,Feedback
0,7248,95.42,Link to Assignment with Professor Feedback
1,7389,100.0,Link to Assignment with Professor Feedback
2,7343,71.75,Link to Assignment with Professor Feedback
3,7438,67.47,Link to Assignment with Professor Feedback
4,7401,67.23,Link to Assignment with Professor Feedback
5,7323,94.1,Link to Assignment with Professor Feedback
6,7520,82.97,Link to Assignment with Professor Feedback
7,7319,76.96,Link to Assignment with Professor Feedback
8,7416,100.0,Link to Assignment with Professor Feedback
9,7448,100.0,Link to Assignment with Professor Feedback
10,7356,67.99,Link to Assignment with Professor Feedback
11,7465,100.0,Link to Assignment with Professor Feedback
