,Student ID,Grades,Feedback
0,7517,82.08,Link to Assignment with Professor Feedback
1,7573,96.62,Link to Assignment with Professor Feedback
2,7613,70.42,Link to Assignment with Professor Feedback
3,7492,94.54,Link to Assignment with Professor Feedback
4,7359,88.22,Link to Assignment with Professor Feedback
5,7357,95.13,Link to Assignment with Professor Feedback
6,7612,100.0,Link to Assignment with Professor Feedback
7,7239,72.27,Link to Assignment with Professor Feedback
8,7480,73.58,Link to Assignment with Professor Feedback
9,7280,97.49,Link to Assignment with Professor Feedback
10,7434,94.28,Link to Assignment with Professor Feedback
11,7601,98.97,Link to Assignment with Professor Feedback
12,7456,76.71,Link to Assignment with Professor Feedback
13,7300,100.0,Link to Assignment with Professor Feedback
14,7276,92.62,Link to Assignment with Professor Feedback
15,7514,93.03,Link to Assignment with Professor Feedback
16,7265,96.18,Link to Assignment with Professor Feedback
17,7651,59.72,Link to Assignment with Professor Feedback
18,7296,100.0,Link to Assignment with Professor Feedback
