,Student ID,Grades,Feedback
0,7351,100.0,Link to Assignment with Professor Feedback
1,7417,81.75,Link to Assignment with Professor Feedback
2,7462,100.0,Link to Assignment with Professor Feedback
3,7247,93.29,Link to Assignment with Professor Feedback
4,7293,89.75,Link to Assignment with Professor Feedback
5,7270,100.0,Link to Assignment with Professor Feedback
6,7555,57.92,Link to Assignment with Professor Feedback
7,7490,69.52,Link to Assignment with Professor Feedback
8,7343,89.0,Link to Assignment with Professor Feedback
9,7374,100.0,Link to Assignment with Professor Feedback
10,7412,80.12,Link to Assignment with Professor Feedback
11,7580,53.35,Link to Assignment with Professor Feedback
12,7254,100.0,Link to Assignment with Professor Feedback
