,Student ID,Grades,Feedback
0,7562,97.13,Link to Assignment with Professor Feedback
1,7496,95.22,Link to Assignment with Professor Feedback
2,7532,100.0,Link to Assignment with Professor Feedback
3,7301,70.36,Link to Assignment with Professor Feedback
4,7275,96.0,Link to Assignment with Professor Feedback
5,7384,91.62,Link to Assignment with Professor Feedback
6,7575,100.0,Link to Assignment with Professor Feedback
7,7420,91.8,Link to Assignment with Professor Feedback
8,7471,96.66,Link to Assignment with Professor Feedback
9,7308,100.0,Link to Assignment with Professor Feedback
10,7523,78.26,Link to Assignment with Professor Feedback
11,7324,100.0,Link to Assignment with Professor Feedback
12,7433,95.96,Link to Assignment with Professor Feedback
13,7266,100.0,Link to Assignment with Professor Feedback
14,7543,76.95,Link to Assignment with Professor Feedback
15,7589,100.0,Link to Assignment with Professor Feedback
16,7394,83.66,Link to Assignment with Professor Feedback
