,Student ID,Grades,Feedback
0,7253,73.28,Link to Assignment with Professor Feedback
1,7421,87.0,Link to Assignment with Professor Feedback
2,7494,78.04,Link to Assignment with Professor Feedback
3,7484,80.88,Link to Assignment with Professor Feedback
4,7485,91.91,Link to Assignment with Professor Feedback
5,7396,55.7,Link to Assignment with Professor Feedback
6,7280,100.0,Link to Assignment with Professor Feedback
7,7290,100.0,Link to Assignment with Professor Feedback
8,7488,87.43,Link to Assignment with Professor Feedback
9,7547,98.69,Link to Assignment with Professor Feedback
10,7549,100.0,Link to Assignment with Professor Feedback
11,7353,68.32,Link to Assignment with Professor Feedback
12,7362,62.85,Link to Assignment with Professor Feedback
13,7644,96.45,Link to Assignment with Professor Feedback
14,7637,77.85,Link to Assignment with Professor Feedback
