,Student ID,Grades,Feedback
0,7346,83.76,Link to Assignment with Professor Feedback
1,7372,63.41,Link to Assignment with Professor Feedback
2,7430,78.59,Link to Assignment with Professor Feedback
3,7482,89.38,Link to Assignment with Professor Feedback
4,7461,76.49,Link to Assignment with Professor Feedback
5,7451,94.19,Link to Assignment with Professor Feedback
6,7575,98.23,Link to Assignment with Professor Feedback
7,7268,85.14,Link to Assignment with Professor Feedback
8,7343,100.0,Link to Assignment with Professor Feedback
9,7505,92.45,Link to Assignment with Professor Feedback
10,7250,85.12,Link to Assignment with Professor Feedback
11,7498,54.57,Link to Assignment with Professor Feedback
12,7457,70.24,Link to Assignment with Professor Feedback
13,7611,99.88,Link to Assignment with Professor Feedback
14,7579,98.62,Link to Assignment with Professor Feedback
15,7294,100.0,Link to Assignment with Professor Feedback
16,7610,87.19,Link to Assignment with Professor Feedback
17,7527,76.93,Link to Assignment with Professor Feedback
18,7334,94.73,Link to Assignment with Professor Feedback
19,7342,93.35,Link to Assignment with Professor Feedback
