,Student ID,Grades,Feedback
0,7282,99.19,Link to Assignment with Professor Feedback
1,7520,100.0,Link to Assignment with Professor Feedback
2,7489,78.9,Link to Assignment with Professor Feedback
3,7321,100.0,Link to Assignment with Professor Feedback
4,7479,100.0,Link to Assignment with Professor Feedback
5,7455,85.76,Link to Assignment with Professor Feedback
6,7438,100.0,Link to Assignment with Professor Feedback
7,7516,100.0,Link to Assignment with Professor Feedback
8,7238,69.72,Link to Assignment with Professor Feedback
9,7476,82.99,Link to Assignment with Professor Feedback
10,7638,99.26,Link to Assignment with Professor Feedback
11,7302,95.4,Link to Assignment with Professor Feedback
12,7284,81.62,Link to Assignment with Professor Feedback
13,7331,70.94,Link to Assignment with Professor Feedback
14,7581,75.73,Link to Assignment with Professor Feedback
15,7530,94.96,Link to Assignment with Professor Feedback
16,7622,56.17,Link to Assignment with Professor Feedback
17,7427,100.0,Link to Assignment with Professor Feedback
