,Student ID,Grades,Feedback
0,7587,100.0,Link to Assignment with Professor Feedback
1,7566,51.71,Link to Assignment with Professor Feedback
2,7613,100.0,Link to Assignment with Professor Feedback
3,7580,65.09,Link to Assignment with Professor Feedback
4,7471,93.79,Link to Assignment with Professor Feedback
5,7334,79.39,Link to Assignment with Professor Feedback
6,7541,39.03,Link to Assignment with Professor Feedback
7,7383,81.99,Link to Assignment with Professor Feedback
8,7259,92.77,Link to Assignment with Professor Feedback
9,7516,98.73,Link to Assignment with Professor Feedback
10,7343,74.81,Link to Assignment with Professor Feedback
11,7496,76.1,Link to Assignment with Professor Feedback
12,7598,65.79,Link to Assignment with Professor Feedback
13,7440,69.56,Link to Assignment with Professor Feedback
14,7307,100.0,Link to Assignment with Professor Feedback
15,7367,63.42,Link to Assignment with Professor Feedback
16,7475,53.15,Link to Assignment with Professor Feedback
17,7638,93.91,Link to Assignment with Professor Feedback
18,7441,72.73,Link to Assignment with Professor Feedback
19,7309,100.0,Link to Assignment with Professor Feedback
