,Student ID,Grades,Feedback
0,634,88.68,Link to Assignment with Professor Feedback
1,501,50.12,Link to Assignment with Professor Feedback
2,638,100.0,Link to Assignment with Professor Feedback
3,629,89.2,Link to Assignment with Professor Feedback
4,862,100.0,Link to Assignment with Professor Feedback
5,840,63.18,Link to Assignment with Professor Feedback
6,870,71.68,Link to Assignment with Professor Feedback
7,482,96.49,Link to Assignment with Professor Feedback
8,745,93.94,Link to Assignment with Professor Feedback
9,848,70.43,Link to Assignment with Professor Feedback
10,841,100.0,Link to Assignment with Professor Feedback
11,805,83.83,Link to Assignment with Professor Feedback
12,603,74.41,Link to Assignment with Professor Feedback
13,786,89.2,Link to Assignment with Professor Feedback
14,507,97.68,Link to Assignment with Professor Feedback
15,816,73.1,Link to Assignment with Professor Feedback
16,797,100.0,Link to Assignment with Professor Feedback
17,864,100.0,Link to Assignment with Professor Feedback
18,470,92.48,Link to Assignment with Professor Feedback
